山通番,パレット数,構成
168,3,KVC|2026082803|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082803|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082803|B7|L12-D-8|537224207090|1|515|194.1302
169,4,KVC|2026082503|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082503|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026082804|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082804|B7|L12-D-8|537224207090|1|515|194.1302
170,3,KVC|2026083103|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026083103|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026083103|B7|L12-D-8|537224207090|1|515|194.1302
171,3,元町|2026090103|1W|L12-A-5|571165008000|1|800|204.3; 元町|2026090103|1W|L12-D-1|571155008000|1|800|194.13; 元町|2026090103|1W|N12-B-1|537141101000|1|515|153.54
172,3,日野|2026090711|07|Q10-D-23|617426014000|1|750|62.19; 高岡|2026090203|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090203|K5|L12-D-8|537224207000|1|515|194.1302
173,2,元町|2026082704|1W|N12-B-3|537131101000|1|515|153.5401; 高岡|2026090403|K5|C15-A-3|583114214100|1|750|313.7401
174,3,日野|2026090909|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090503|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090503|K5|L12-C-5|537214206000|1|515|194.1301
175,4,三栄|2026090703|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090703|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090703|1P|Q10-E-21|671466020000|21|500|62.112; 元町|2026090403|1W|L12-D-1|571155008000|1|800|194.13
176,3,日野|2026090703|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090703|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026090703|07|Q10-B-5|616246010000|1|500|72.907
177,1,織機|2026090703|28|C15-A-3|583114214100|1|750|313.7401
178,2,KVC|2026082803|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026083103|B7|L12-C-5|537214206090|1|515|194.1301
179,4,KVC|2026083104|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026083104|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090803|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090803|B7|L12-C-5|537214206090|1|515|194.1301
180,3,日野|2026090803|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090803|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026090803|07|Q10-D-23|617426014000|1|750|62.19
181,4,日野|2026090803|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090803|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090803|W5|Q10-A-22|671456020000|21|500|72.915; 織機|2026090708|28|C15-A-3|583114214100|1|750|313.7401
182,3,織機|2026090803|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090803|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090803|61|C15-A-3|583114214100|1|750|313.7401
183,3,日野|2026090911|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090803|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090803|K5|L12-C-5|537214206000|1|515|194.1301
184,3,KVC|2026082705|B7|L12-C-5|537214206090|1|515|194.1301; 織機|2026090805|61|C15-A-3|583114214100|1|750|313.7401; 高岡|2026083103|K5|C15-A-3|583114214100|1|750|313.7401
185,1,KVC|2026090903|B3|C15-A-1|581167801100|1|830|313.7402
186,3,日野|2026090810|07|Q10-A-7|631436012000|1|515|72.909; 日野|2026090810|07|Q10-D-23|617426014000|1|750|62.19; 高岡|2026090303|K5|C15-A-3|583114214100|1|750|313.7401
187,3,日野|2026090903|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090903|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090903|07|Q10-D-25|617416014000|1|750|62.1901
188,3,日野|2026090903|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090903|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090903|W5|Q10-A-22|671456020000|21|500|72.915
189,2,織機|2026090903|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090903|61|C15-A-3|583114214100|1|750|313.7401
190,3,KVC|2026090909|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090909|B7|L12-D-8|537224207090|1|515|194.1302; 日野|2026090703|07|Q10-A-24|631426010000|1|1000|72.916
191,4,KVC|2026082003|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026091003|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091003|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026091003|B7|L12-D-8|537224207090|1|515|194.1302
192,1,日野|2026091203|07|Q10-A-24|631426010000|1|1000|72.916
193,3,日野|2026091203|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091203|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091203|06|Q10-A-13|486246006000|1|750|72.913
194,3,日野|2026091203|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091203|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091203|07|Q10-D-25|617416014000|1|750|62.1901
195,1,高岡|2026082603|K5|C15-A-3|583114214100|1|750|313.7401
196,2,元町|2026082703|1W|L12-A-5|571165008000|1|800|204.3; 元町|2026082703|1W|L12-D-1|571155008000|1|800|194.13
197,3,高岡|2026082703|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082703|K5|L12-C-5|537214206000|1|515|194.1301; 高岡|2026082703|K5|L12-D-8|537224207000|1|515|194.1302
198,2,高岡|2026082803|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082803|K5|C15-B-5|581164203000|1|830|313.74
199,2,高岡|2026090103|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090103|K5|C15-B-5|581164203000|1|830|313.74
200,1,高岡|2026090703|K5|C15-A-3|583114214100|1|750|313.7401
201,2,日野|2026090703|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026090803|07|Q10-A-27|5831160F4000|5|600|72.917
202,3,元町|2026082703|1W|M12-B-17|572411101000|7|800|168.3902; 元町|2026082703|1W|M12-B-21|572425003000|7|800|168.3903; 元町|2026090103|1W|L12-B-26|572421101000|7|800|182.97
203,2,織機|2026090803|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090803|61|Q9-A-5|551124202000|17|830|16.6501
204,2,織機|2026090703|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090903|61|Q9-A-5|551124202000|17|830|16.6501
205,2,織機|2026090803|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090903|21|Q9-A-1|551124201000|17|830|16.65
206,2,織機|2026090803|61|Q9-A-1|551124201000|17|830|16.65; 織機|2026090903|21|Q9-A-1|551124201000|17|830|16.65
207,1,織機|2026090903|61|Q9-A-1|551124201000|17|830|16.65
208,2,高岡|2026082503|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082603|K5|Q9-A-5|551124202000|17|830|16.6501
209,2,高岡|2026082703|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082803|K5|Q9-A-5|551124202000|17|830|16.6501
210,2,高岡|2026083103|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090203|K5|Q9-A-5|551124202000|17|830|16.6501
211,2,高岡|2026090303|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090703|K5|Q9-A-5|551124202000|17|830|16.6501
212,2,TMK|2026082103|B7|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090803|K5|Q9-A-5|551124202000|17|830|16.6501
213,2,TMK|2026082404|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082603|B7|Q9-A-5|551124202000|17|830|16.6501
214,2,TMK|2026082704|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082803|B7|Q9-A-5|551124202000|17|830|16.6501
215,2,TMK|2026091004|B7|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082503|K5|Q9-A-1|551124201000|17|830|16.65
216,2,高岡|2026082503|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082603|K5|Q9-A-1|551124201000|17|830|16.65
217,2,高岡|2026082603|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082703|K5|Q9-A-1|551124201000|17|830|16.65
218,2,高岡|2026082703|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082803|K5|Q9-A-1|551124201000|17|830|16.65
219,2,高岡|2026082803|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082803|K5|Q9-A-1|551124201000|17|830|16.65
220,2,高岡|2026083103|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026083103|K5|Q9-A-1|551124201000|17|830|16.65
221,2,高岡|2026090103|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090103|K5|Q9-A-1|551124201000|17|830|16.65
222,2,高岡|2026090203|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090203|K5|Q9-A-1|551124201000|17|830|16.65
223,2,高岡|2026090303|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090303|K5|Q9-A-1|551124201000|17|830|16.65
224,2,高岡|2026090403|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090503|K5|Q9-A-1|551124201000|17|830|16.65
225,2,高岡|2026090703|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090703|K5|Q9-A-1|551124201000|17|830|16.65
226,2,高岡|2026090803|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090803|K5|Q9-A-1|551124201000|17|830|16.65
227,2,元町|2026082603|1W|N12-A-6|551115009000|17|600|168.39; 元町|2026090403|1W|C12-B-2|582111190500|17|600|346.501
228,4,元町|2026082603|1W|I12-B-5|616415003000|20|600|238.6801; 元町|2026082603|1W|I12-B-5|616455005000|20|600|238.6801; 元町|2026090303|1W|I12-B-3|616425003000|20|600|238.68; 元町|2026090303|1W|I12-B-3|616465005000|20|600|238.68
229,4,日野|2026091203|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091203|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091203|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091203|W5|Q10-A-22|671456020000|21|500|72.915
230,2,日野|2026090703|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090703|W5|Q10-A-20|671466020000|21|500|72.914
231,3,KVC|2026082004|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082004|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082004|B7|L12-D-8|537224207090|1|515|194.1302
232,3,KVC|2026082104|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082104|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082104|B7|L12-D-8|537224207090|1|515|194.1302
233,3,KVC|2026082404|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082404|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082404|B7|C15-A-1|581167801100|1|830|313.7402
234,2,高岡|2026082504|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082504|K5|C15-B-5|581164203000|1|830|313.74
235,3,KVC|2026082604|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082604|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082604|B7|L12-D-8|537224207090|1|515|194.1302
236,4,KVC|2026082805|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082805|B7|L12-D-8|537224207090|1|515|194.1302; 元町|2026082604|1W|N12-A-21|571111101000|1|800|168.3905; 元町|2026082604|1W|N12-B-1|537141101000|1|515|153.54
237,3,高岡|2026082604|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082604|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026082604|K5|L12-D-8|537224207000|1|515|194.1302
238,3,日野|2026090814|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026082804|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082804|K5|L12-C-5|537214206000|1|515|194.1301
239,3,KVC|2026083104|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026083104|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026083104|B7|C15-A-1|581167801100|1|830|313.7402
240,3,日野|2026090714|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026083104|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026083104|K5|L12-C-5|537214206000|1|515|194.1301
241,4,KVC|2026082405|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082405|B7|L12-D-8|537224207090|1|515|194.1302; 元町|2026090204|1W|N12-A-21|571111101000|1|800|168.3905; 元町|2026090204|1W|N12-B-3|537131101000|1|515|153.5401
242,4,日野|2026090814|07|Q10-B-B|617756003000|21|500|72.901; 日野|2026090814|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090304|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090304|K5|L12-C-5|537214206000|1|515|194.1301
243,3,日野|2026090812|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090404|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090404|K5|L12-C-5|537214206000|1|515|194.1301
244,4,三栄|2026090704|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090704|1P|Q10-E-21|671466020000|21|500|62.112; 三栄|2026090704|1P|Q10-E-21|671466020000|21|500|62.112; 高岡|2026090105|K5|C15-A-3|583114214100|1|750|313.7401
245,3,日野|2026090704|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090704|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090704|06|Q10-A-13|486246006000|1|750|72.913
246,3,織機|2026090704|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090704|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090704|61|C15-A-3|583114214100|1|750|313.7401
247,3,高岡|2026090704|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090704|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026090704|K5|L12-C-5|537214206000|1|515|194.1301
248,1,元町|2026090404|1W|L12-A-5|571165008000|1|800|204.3
249,3,元町|2026083104|1W|N12-A-19|571121101000|1|800|168.3904; 日野|2026090713|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090713|07|Q10-D-25|617416014000|1|750|62.1901
250,3,日野|2026090714|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090714|07|Q10-D-25|617416014000|1|750|62.1901; 高岡|2026090204|K5|C15-A-3|583114214100|1|750|313.7401
251,4,KVC|2026082404|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082404|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090804|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090804|B7|L12-D-8|537224207090|1|515|194.1302
252,1,日野|2026090804|07|Q10-A-24|631426010000|1|1000|72.916
253,3,日野|2026090804|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090804|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090804|06|Q10-A-13|486246006000|1|750|72.913
254,3,日野|2026090804|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090804|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090804|07|Q10-D-25|617416014000|1|750|62.1901
255,3,日野|2026090711|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026090804|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090804|28|C15-A-3|583114214100|1|750|313.7401
256,3,日野|2026090712|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090804|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090804|K5|L12-D-8|537224207000|1|515|194.1302
257,3,KVC|2026090805|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026091005|B7|L12-D-8|537224207090|1|515|194.1302; 元町|2026090804|1W|N12-B-3|537131101000|1|515|153.5401
258,2,高岡|2026090104|K5|L12-C-5|537214206000|1|515|194.1301; 高岡|2026090104|K5|L12-D-8|537224207000|1|515|194.1302
259,4,日野|2026090812|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090812|07|Q10-B-7|616236014000|1|500|72.908; 日野|2026090812|07|Q10-D-25|617416014000|1|750|62.1901; 高岡|2026082604|K5|L12-C-5|537214206000|1|515|194.1301
260,4,KVC|2026082004|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026090904|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026090904|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090904|B7|L12-C-5|537214206090|1|515|194.1301
261,2,日野|2026090904|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026090904|07|Q10-D-23|617426014000|1|750|62.19
262,3,日野|2026090904|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090904|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090904|06|Q10-A-13|486246006000|1|750|72.913
263,3,日野|2026090904|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090904|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090904|07|Q10-D-25|617416014000|1|750|62.1901
264,3,織機|2026090904|28|C12-B-6|582114202000|1|550|346.5; 織機|2026090904|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090904|28|C15-A-3|583114214100|1|750|313.7401
265,3,KVC|2026091004|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091004|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091004|B7|L12-C-5|537214206090|1|515|194.1301
266,2,日野|2026091204|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091204|07|Q10-D-23|617426014000|1|750|62.19
267,4,KVC|2026090809|B7|L12-C-5|537214206090|1|515|194.1301; 日野|2026091204|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091204|07|Q10-B-7|616236014000|1|500|72.908; 日野|2026091204|07|Q10-D-25|617416014000|1|750|62.1901
268,1,KVC|2026082704|B7|L12-D-8|537224207090|1|515|194.1302
269,2,日野|2026090904|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026091204|07|Q10-B-23|5831160F1000|5|600|72.918
270,2,日野|2026090904|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026091204|07|Q10-A-27|5831160F4000|5|600|72.917
271,1,元町|2026090804|1W|L12-B-26|572421101000|7|800|182.97
272,2,織機|2026090704|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090904|21|Q9-A-5|551124202000|17|830|16.6501
273,2,織機|2026090704|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090704|61|Q9-A-5|551124202000|17|830|16.6501
274,2,織機|2026090804|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090904|21|Q9-A-1|551124201000|17|830|16.65
275,1,織機|2026090704|61|Q9-A-1|551124201000|17|830|16.65
276,2,TMK|2026090804|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026090904|B7|Q9-A-5|551124202000|17|830|16.6501
277,2,高岡|2026082604|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082704|K5|Q9-A-5|551124202000|17|830|16.6501
278,2,高岡|2026082804|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090104|K5|Q9-A-5|551124202000|17|830|16.6501
279,2,高岡|2026090404|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090704|K5|Q9-A-5|551124202000|17|830|16.6501
280,2,高岡|2026082504|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082504|K5|Q9-A-1|551124201000|17|830|16.65
281,2,高岡|2026082604|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082604|K5|Q9-A-1|551124201000|17|830|16.65
282,2,高岡|2026082704|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082704|K5|Q9-A-1|551124201000|17|830|16.65
283,2,高岡|2026082804|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082804|K5|Q9-A-1|551124201000|17|830|16.65
284,2,高岡|2026083104|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026083104|K5|Q9-A-1|551124201000|17|830|16.65
285,2,高岡|2026090104|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090104|K5|Q9-A-1|551124201000|17|830|16.65
286,2,高岡|2026090204|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090204|K5|Q9-A-1|551124201000|17|830|16.65
287,2,高岡|2026090304|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090304|K5|Q9-A-1|551124201000|17|830|16.65
288,2,高岡|2026090404|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090404|K5|Q9-A-1|551124201000|17|830|16.65
289,2,高岡|2026090704|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090704|K5|Q9-A-1|551124201000|17|830|16.65
290,2,高岡|2026090804|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090804|K5|Q9-A-1|551124201000|17|830|16.65
291,1,元町|2026082604|1W|C12-B-2|582111190500|17|600|346.501
292,1,元町|2026082604|1W|Q10-F-7|576525091400|19|670|62.109
293,2,元町|2026082604|1W|I12-B-3|616425003000|20|600|238.68; 元町|2026082604|1W|I12-B-3|616465005000|20|600|238.68
294,1,日野|2026090704|07|Q10-B-3|617756002000|21|500|72.906
295,2,日野|2026091204|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091204|W5|Q10-A-22|671456020000|21|500|72.915
296,3,KVC|2026082005|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082005|B7|C15-B-5|581164203000|1|830|313.74; KVC|2026082005|B7|L12-D-8|537224207090|1|515|194.1302
297,3,KVC|2026082105|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082105|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082105|B7|C15-A-1|581167801100|1|830|313.7402
298,3,KVC|2026082505|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082505|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082505|B7|L12-D-8|537224207090|1|515|194.1302
299,4,KVC|2026082106|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082605|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082605|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082605|B7|L12-D-8|537224207090|1|515|194.1302
300,3,KVC|2026082705|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082705|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082705|B7|L12-D-8|537224207090|1|515|194.1302
301,4,KVC|2026082505|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082706|B7|C15-B-5|581164203000|1|830|313.74; KVC|2026082706|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082706|B7|L12-D-8|537224207090|1|515|194.1302
302,3,KVC|2026082805|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082805|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082805|B7|C15-A-1|581167801100|1|830|313.7402
303,3,高岡|2026090405|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090405|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026090405|K5|L12-D-8|537224207000|1|515|194.1302
304,2,日野|2026090705|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026090705|07|Q10-A-24|631426010000|1|1000|72.916
305,3,日野|2026090705|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090705|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090705|06|Q10-A-12|486236006000|1|750|72.912
306,3,日野|2026090705|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090705|07|Q10-B-7|616236014000|1|500|72.908; 日野|2026090705|07|Q10-D-25|617416014000|1|750|62.1901
307,1,日野|2026090705|07|Q10-D-23|617426014000|1|750|62.19
308,3,織機|2026090705|28|C12-B-6|582114202000|1|550|346.5; 織機|2026090705|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090705|28|C15-A-3|583114214100|1|750|313.7401
309,3,日野|2026090805|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090805|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026090805|07|Q10-B-7|616236014000|1|500|72.908
310,3,日野|2026090805|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090805|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026090805|07|Q10-D-25|617416014000|1|750|62.1901
311,3,織機|2026090805|28|C12-B-6|582114202000|1|550|346.5; 織機|2026090805|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090805|28|C15-A-3|583114214100|1|750|313.7401
312,4,KVC|2026082005|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026090806|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026090806|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090806|B7|L12-D-8|537224207090|1|515|194.1302
313,2,KVC|2026082806|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026083105|B7|L12-C-5|537214206090|1|515|194.1301
314,3,KVC|2026090905|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026090905|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090905|B7|L12-D-8|537224207090|1|515|194.1302
315,2,日野|2026090905|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026090905|07|Q10-A-24|631426010000|1|1000|72.916
316,3,日野|2026090905|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090905|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090905|06|Q10-A-13|486246006000|1|750|72.913
317,3,日野|2026090905|07|Q10-B-7|616236014000|1|500|72.908; 日野|2026090905|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090905|07|Q10-D-25|617416014000|1|750|62.1901
318,4,KVC|2026082105|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082105|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090908|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026090908|B7|L12-C-5|537214206090|1|515|194.1301
319,3,日野|2026091205|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091205|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091205|06|Q10-A-13|486246006000|1|750|72.913
320,3,日野|2026091205|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091205|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091205|07|Q10-B-7|616236014000|1|500|72.908
321,3,日野|2026091205|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091205|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091205|07|Q10-D-25|617416014000|1|750|62.1901
322,2,高岡|2026090805|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090805|K5|C15-B-5|581164203000|1|830|313.74
323,2,日野|2026090705|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026090805|07|Q10-B-23|5831160F1000|5|600|72.918
324,2,日野|2026090705|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026090905|07|Q10-B-23|5831160F1000|5|600|72.918
325,1,日野|2026090805|07|Q10-A-27|5831160F4000|5|600|72.917
326,2,織機|2026090705|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090805|21|Q9-A-5|551124202000|17|830|16.6501
327,2,織機|2026090805|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090905|21|Q9-A-5|551124202000|17|830|16.6501
328,2,織機|2026090705|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090805|21|Q9-A-1|551124201000|17|830|16.65
329,2,織機|2026090805|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090905|21|Q9-A-1|551124201000|17|830|16.65
330,1,織機|2026090805|61|Q9-A-1|551124201000|17|830|16.65
