PR #58 入れ込み測定レポート
実行時刻: 2026-08-03 22:25:55
リポジトリ: CHかんばんセット

日付=20260715 | セッション=2026-07-17 06:58:33 | 日野便=['13', '14'] | 山数=12 | メイン=12 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-17 07:00:50 | 日野便=['11', '12'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山10が09:12に開始
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山11が09:22に開始
  !! 入れ込み: 便12の窓[09:12-09:27]に 便11 山5が09:27に開始
日付=20260715 | セッション=2026-07-17 07:02:24 | 日野便=['13', '14'] | 山数=13 | メイン=13 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-17 07:56:13 | 日野便=['11', '12'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山10が09:12に開始
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山11が09:22に開始
  !! 入れ込み: 便12の窓[09:12-09:27]に 便11 山5が09:27に開始
日付=20260715 | セッション=2026-07-17 07:57:20 | 日野便=['13', '14'] | 山数=13 | メイン=13 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-17 08:41:45 | 日野便=['11', '12'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山10が09:12に開始
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山11が09:22に開始
  !! 入れ込み: 便12の窓[09:12-09:27]に 便11 山5が09:27に開始
日付=20260715 | セッション=2026-07-17 08:42:39 | 日野便=['13', '14'] | 山数=13 | メイン=13 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-17 09:27:17 | 日野便=['11', '12'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山10が09:12に開始
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山11が09:22に開始
  !! 入れ込み: 便12の窓[09:12-09:27]に 便11 山5が09:27に開始
日付=20260715 | セッション=2026-07-17 09:28:43 | 日野便=['13', '14'] | 山数=13 | メイン=13 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-17 10:39:11 | 日野便=['11', '12'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山10が09:12に開始
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山11が09:22に開始
  !! 入れ込み: 便12の窓[09:12-09:27]に 便11 山5が09:27に開始
日付=20260715 | セッション=2026-07-17 10:40:06 | 日野便=['11', '12', '13', '14'] | 山数=16 | メイン=14 | リリーフ=0 | あふれ=2 | 入れ込み=6
  !! 入れ込み: 便11の窓[07:00-09:28]に 便12 山5が09:12に開始
  !! 入れ込み: 便11の窓[07:00-09:28]に 便12 山7が09:28に開始
  !! 入れ込み: 便12の窓[09:12-09:28]に 便11 山5が09:12に開始
  !! 入れ込み: 便12の窓[09:12-09:28]に 便11 山7が09:28に開始
  !! 入れ込み: 便13の窓[10:04-12:29]に 便14 山10が12:29に開始
  !! 入れ込み: 便14の窓[12:29-12:53]に 便13 山10が12:29に開始
日付=20260715 | セッション=2026-07-17 10:40:18 | 日野便=['11', '12', '13', '14'] | 山数=16 | メイン=14 | リリーフ=0 | あふれ=2 | 入れ込み=6
  !! 入れ込み: 便11の窓[07:00-09:28]に 便12 山5が09:12に開始
  !! 入れ込み: 便11の窓[07:00-09:28]に 便12 山7が09:28に開始
  !! 入れ込み: 便12の窓[09:12-09:28]に 便11 山5が09:12に開始
  !! 入れ込み: 便12の窓[09:12-09:28]に 便11 山7が09:28に開始
  !! 入れ込み: 便13の窓[10:04-12:29]に 便14 山10が12:29に開始
  !! 入れ込み: 便14の窓[12:29-12:53]に 便13 山10が12:29に開始
日付=20260715 | セッション=2026-07-17 14:33:11 | 日野便=['09', '10'] | 山数=14 | メイン=14 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-17 14:40:38 | 日野便=['09', '10'] | 山数=14 | メイン=14 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-18 10:35:35 | 日野便=['11', '12'] | 山数=12 | メイン=12 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260715 | セッション=2026-07-18 12:06:53 | 日野便=['11', '12'] | 山数=14 | メイン=14 | リリーフ=0 | あふれ=0 | 入れ込み=2
  !! 入れ込み: 便11の窓[07:00-09:30]に 便12 山11が09:12に開始
  !! 入れ込み: 便12の窓[09:12-09:55]に 便11 山1が09:22に開始
日付=20260715 | セッション=2026-07-18 12:50:21 | 日野便=['11', '12'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山10が09:12に開始
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山11が09:22に開始
  !! 入れ込み: 便12の窓[09:12-09:27]に 便11 山5が09:27に開始
日付=20260715 | セッション=2026-07-18 12:52:45 | 日野便=['13', '14'] | 山数=13 | メイン=13 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260716 | セッション=2026-07-18 13:16:16 | 日野便=['07', '08'] | 山数=4 | メイン=4 | リリーフ=0 | あふれ=0 | 入れ込み=7
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山1が00:00に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山2が00:07に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山3が00:20に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山4が00:28に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山1が00:00に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山2が00:07に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山3が00:20に開始
日付=20260716 | セッション=2026-07-18 14:43:39 | 日野便=['07', '08'] | 山数=4 | メイン=4 | リリーフ=0 | あふれ=0 | 入れ込み=7
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山1が00:00に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山2が00:07に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山3が00:20に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山4が00:28に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山1が00:00に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山2が00:07に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山3が00:20に開始
日付=20260716 | セッション=2026-07-18 14:50:58 | 日野便=['07', '08'] | 山数=4 | メイン=4 | リリーフ=0 | あふれ=0 | 入れ込み=7
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山1が00:00に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山2が00:07に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山3が00:20に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山4が00:28に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山1が00:00に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山2が00:07に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山3が00:20に開始
日付=20260716 | セッション=2026-07-18 14:53:25 | 日野便=['07', '08'] | 山数=4 | メイン=4 | リリーフ=0 | あふれ=0 | 入れ込み=7
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山1が00:00に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山2が00:07に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山3が00:20に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山4が00:28に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山1が00:00に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山2が00:07に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山3が00:20に開始
日付=20260716 | セッション=2026-07-18 15:13:49 | 日野便=['07', '08'] | 山数=4 | メイン=4 | リリーフ=0 | あふれ=0 | 入れ込み=7
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山1が00:00に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山2が00:07に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山3が00:20に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山4が00:28に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山1が00:00に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山2が00:07に開始
  !! 入れ込み: 便08の窓[00:00-06:32]に 便07 山3が00:20に開始
日付=20260717 | セッション=2026-07-20 20:02:10 | 日野便=['07', '08'] | 山数=2 | メイン=2 | リリーフ=0 | あふれ=0 | 入れ込み=1
