山通番,パレット数,構成
74,2,高岡|2026082601|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082701|K5|Q9-A-1|551124201000|17|830|16.65
75,2,高岡|2026082701|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082701|K5|Q9-A-1|551124201000|17|830|16.65
76,2,高岡|2026082801|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082801|K5|Q9-A-1|551124201000|17|830|16.65
77,2,高岡|2026083101|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026083101|K5|Q9-A-1|551124201000|17|830|16.65
78,2,高岡|2026090101|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090101|K5|Q9-A-1|551124201000|17|830|16.65
79,2,高岡|2026090201|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090201|K5|Q9-A-1|551124201000|17|830|16.65
80,2,高岡|2026090301|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090401|K5|Q9-A-1|551124201000|17|830|16.65
81,2,高岡|2026090401|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090501|K5|Q9-A-1|551124201000|17|830|16.65
82,2,高岡|2026090501|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090701|K5|Q9-A-1|551124201000|17|830|16.65
83,2,高岡|2026090701|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090801|K5|Q9-A-1|551124201000|17|830|16.65
84,2,高岡|2026090801|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090901|K5|Q9-A-1|551124201000|17|830|16.65
85,2,高岡|2026090901|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026091001|K5|Q9-A-1|551124201000|17|830|16.65
86,2,高岡|2026091101|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026091101|K5|Q9-A-1|551124201000|17|830|16.65
87,2,織機|2026090701|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090901|21|Q9-A-5|551124202000|17|830|16.6501
88,2,織機|2026090801|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091001|21|Q9-A-5|551124202000|17|830|16.6501
89,2,織機|2026090901|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091001|61|Q9-A-5|551124202000|17|830|16.6501
90,2,織機|2026090701|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026091101|61|Q9-A-5|551124202000|17|830|16.6501
91,2,織機|2026090701|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090801|21|Q9-A-1|551124201000|17|830|16.65
92,2,織機|2026090801|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090901|21|Q9-A-1|551124201000|17|830|16.65
93,2,織機|2026091001|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026091001|21|Q9-A-1|551124201000|17|830|16.65
94,2,織機|2026090901|61|Q9-A-1|551124201000|17|830|16.65; 織機|2026091101|21|Q9-A-1|551124201000|17|830|16.65
95,1,織機|2026091101|61|Q9-A-1|551124201000|17|830|16.65
96,2,元町|2026091001|9P|J12-B-14|538115019000|18|1050|227.7; 元町|2026091001|9P|J12-B-16|538125020000|18|1050|227.701
97,4,日野|2026090801|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090801|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090801|07|Q10-B-A|617766004000|21|500|72.9; 日野|2026090801|W5|Q10-A-22|671456020000|21|500|72.915
98,4,日野|2026090901|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090901|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090901|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090901|W5|Q10-A-22|671456020000|21|500|72.915
99,4,日野|2026091201|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091201|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091201|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091201|W5|Q10-A-22|671456020000|21|500|72.915
100,4,日野|2026091101|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091101|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091201|07|Q10-B-A|617766004000|21|500|72.9; 日野|2026091201|07|Q10-B-B|617756003000|21|500|72.901
101,3,三栄|2026090701|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090701|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090701|1P|Q10-E-21|671466020000|21|500|62.112
102,3,KVC|2026082102|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082102|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082102|B7|L12-D-8|537224207090|1|515|194.1302
103,3,KVC|2026082502|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082502|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082502|B7|L12-D-8|537224207090|1|515|194.1302
104,3,KVC|2026082602|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082602|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082602|B7|C15-A-1|581167801100|1|830|313.7402
105,2,KVC|2026082602|B7|C15-B-5|581164203000|1|830|313.74; KVC|2026082602|B7|L12-C-5|537214206090|1|515|194.1301
106,3,高岡|2026082602|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082602|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026082602|K5|L12-D-8|537224207000|1|515|194.1302
