山通番,パレット数,構成
52,3,日野|2026091201|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091201|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091201|07|Q10-D-25|617416014000|1|750|62.1901
53,3,KVC|2026091401|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091401|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091401|B7|L12-D-8|537224207090|1|515|194.1302
54,1,日野|2026091201|07|Q10-A-24|631426010000|1|1000|72.916
55,3,日野|2026090801|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090801|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090801|07|Q10-B-7|616236014000|1|500|72.908
56,2,日野|2026090901|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026091001|07|Q10-B-23|5831160F1000|5|600|72.918
57,2,日野|2026091101|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026091201|07|Q10-B-23|5831160F1000|5|600|72.918
58,2,日野|2026090801|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026091001|07|Q10-A-27|5831160F4000|5|600|72.917
59,1,日野|2026091201|07|Q10-A-27|5831160F4000|5|600|72.917
60,1,元町|2026090401|1W|M12-B-17|572411101000|7|800|168.3902
61,4,三栄|2026090801|2P|Q11-C-A|631496003000|11|600|119.43; 三栄|2026090801|2P|Q11-C-A|631496003000|11|600|119.43; 三栄|2026090801|2P|Q11-C-A|631496003000|11|600|119.43; 三栄|2026090801|2P|Q8-A-A|631486005000|11|600|26.2802
62,2,三栄|2026090801|2P|Q8-A-A|631486005000|11|600|26.2802; 三栄|2026090801|2P|Q8-A-A|631486005000|11|600|26.2802
63,2,日野|2026091201|07|Q10-A-1|631496003000|11|600|72.903; 日野|2026091201|07|Q10-A-3|631486005000|11|600|72.904
64,2,TMK|2026082101|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082402|B7|Q9-A-5|551124202000|17|830|16.6501
65,2,TMK|2026082502|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082601|B7|Q9-A-5|551124202000|17|830|16.6501
66,3,元町|2026082601|1W|N12-A-8|551115010000|17|600|168.3901; 元町|2026090101|1W|C12-B-2|582111190500|17|600|346.501; 高岡|2026082601|K5|Q9-A-5|551124202000|17|830|16.6501
67,2,高岡|2026082801|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026083101|K5|Q9-A-5|551124202000|17|830|16.6501
68,2,高岡|2026090201|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090301|K5|Q9-A-5|551124202000|17|830|16.6501
69,2,高岡|2026090501|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090701|K5|Q9-A-5|551124202000|17|830|16.6501
70,2,高岡|2026090801|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090901|K5|Q9-A-5|551124202000|17|830|16.6501
71,2,高岡|2026091001|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026091101|K5|Q9-A-5|551124202000|17|830|16.6501
72,2,高岡|2026082601|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082601|K5|Q9-A-1|551124201000|17|830|16.65
73,2,高岡|2026082601|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082701|K5|Q9-A-1|551124201000|17|830|16.65
74,2,高岡|2026082701|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082701|K5|Q9-A-1|551124201000|17|830|16.65
75,2,高岡|2026082801|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082801|K5|Q9-A-1|551124201000|17|830|16.65
76,2,高岡|2026083101|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026083101|K5|Q9-A-1|551124201000|17|830|16.65
77,2,高岡|2026090101|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090101|K5|Q9-A-1|551124201000|17|830|16.65
78,2,高岡|2026090201|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090201|K5|Q9-A-1|551124201000|17|830|16.65
79,2,高岡|2026090301|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090401|K5|Q9-A-1|551124201000|17|830|16.65
80,2,高岡|2026090401|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090501|K5|Q9-A-1|551124201000|17|830|16.65
81,2,高岡|2026090501|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090701|K5|Q9-A-1|551124201000|17|830|16.65
82,2,高岡|2026090701|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090801|K5|Q9-A-1|551124201000|17|830|16.65
83,2,高岡|2026090801|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090901|K5|Q9-A-1|551124201000|17|830|16.65
84,2,高岡|2026090901|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026091001|K5|Q9-A-1|551124201000|17|830|16.65
85,2,高岡|2026091101|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026091101|K5|Q9-A-1|551124201000|17|830|16.65
86,2,織機|2026090701|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090901|21|Q9-A-5|551124202000|17|830|16.6501
87,2,織機|2026090801|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091001|21|Q9-A-5|551124202000|17|830|16.6501
88,2,織機|2026090901|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091001|61|Q9-A-5|551124202000|17|830|16.6501
89,2,織機|2026090701|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026091101|61|Q9-A-5|551124202000|17|830|16.6501
90,2,織機|2026090701|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090801|21|Q9-A-1|551124201000|17|830|16.65
91,2,織機|2026090801|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090901|21|Q9-A-1|551124201000|17|830|16.65
92,2,織機|2026091001|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026091001|21|Q9-A-1|551124201000|17|830|16.65
93,2,織機|2026090901|61|Q9-A-1|551124201000|17|830|16.65; 織機|2026091101|21|Q9-A-1|551124201000|17|830|16.65
94,1,織機|2026091101|61|Q9-A-1|551124201000|17|830|16.65
95,2,元町|2026091001|9P|J12-B-14|538115019000|18|1050|227.7; 元町|2026091001|9P|J12-B-16|538125020000|18|1050|227.701
96,4,日野|2026090801|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090801|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090801|07|Q10-B-A|617766004000|21|500|72.9; 日野|2026090801|W5|Q10-A-22|671456020000|21|500|72.915
97,4,日野|2026090901|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090901|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090901|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090901|W5|Q10-A-22|671456020000|21|500|72.915
98,3,日野|2026091001|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091001|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091001|W5|Q10-A-22|671456020000|21|500|72.915
99,4,日野|2026091201|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091201|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091201|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091201|W5|Q10-A-22|671456020000|21|500|72.915
100,2,日野|2026091201|07|Q10-B-A|617766004000|21|500|72.9; 日野|2026091201|07|Q10-B-B|617756003000|21|500|72.901
101,3,三栄|2026090701|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090701|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090701|1P|Q10-E-21|671466020000|21|500|62.112
102,2,日野|2026091101|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091101|W5|Q10-A-20|671466020000|21|500|72.914
103,3,KVC|2026082102|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082102|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082102|B7|L12-D-8|537224207090|1|515|194.1302
104,3,KVC|2026082502|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082502|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082502|B7|L12-D-8|537224207090|1|515|194.1302
105,3,KVC|2026082602|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082602|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082602|B7|C15-A-1|581167801100|1|830|313.7402
106,2,KVC|2026082602|B7|C15-B-5|581164203000|1|830|313.74; KVC|2026082602|B7|L12-C-5|537214206090|1|515|194.1301
107,3,高岡|2026082602|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082602|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026082602|K5|L12-D-8|537224207000|1|515|194.1302
108,3,KVC|2026082702|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082702|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082702|B7|L12-C-5|537214206090|1|515|194.1301
109,3,高岡|2026082702|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082702|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082702|K5|C15-B-5|581164203000|1|830|313.74
110,3,KVC|2026082802|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082802|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082802|B7|L12-C-5|537214206090|1|515|194.1301
111,2,高岡|2026082802|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082802|K5|L12-D-8|537224207000|1|515|194.1302
112,2,KVC|2026083102|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026083102|B7|L12-D-8|537224207090|1|515|194.1302
113,1,高岡|2026083102|K5|C15-A-3|583114214100|1|750|313.7401
114,3,日野|2026091202|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026083105|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026083105|K5|L12-D-8|537224207000|1|515|194.1302
115,1,高岡|2026090102|K5|C15-A-3|583114214100|1|750|313.7401
116,2,高岡|2026090202|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090202|K5|L12-C-5|537214206000|1|515|194.1301
117,2,高岡|2026090302|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026090302|K5|L12-D-8|537224207000|1|515|194.1302
118,4,日野|2026091202|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091202|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090305|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090305|K5|L12-D-8|537224207000|1|515|194.1302
119,1,高岡|2026090502|K5|C15-A-3|583114214100|1|750|313.7401
120,4,三栄|2026090702|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090702|1P|Q10-E-21|671466020000|21|500|62.112; 三栄|2026090702|1P|Q10-E-21|671466020000|21|500|62.112; 元町|2026090703|1W|N12-A-19|571121101000|1|800|168.3904
121,3,日野|2026090702|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090702|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090702|07|Q10-B-7|616236014000|1|500|72.908
122,3,日野|2026090702|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090702|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026090702|07|Q10-D-25|617416014000|1|750|62.1901
123,3,織機|2026090702|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090702|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090702|61|C15-A-3|583114214100|1|750|313.7401
124,1,高岡|2026090702|K5|C15-A-3|583114214100|1|750|313.7401
125,3,日野|2026090902|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090705|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090705|K5|L12-D-8|537224207000|1|515|194.1302
126,1,KVC|2026082502|B7|L12-C-5|537214206090|1|515|194.1301
127,1,KVC|2026090802|B7|L12-D-8|537224207090|1|515|194.1302
128,3,日野|2026090802|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090802|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090802|06|Q10-A-13|486246006000|1|750|72.913
129,3,日野|2026090802|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090802|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026090802|07|Q10-D-25|617416014000|1|750|62.1901
130,2,日野|2026090802|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090802|W5|Q10-A-20|671466020000|21|500|72.914
131,3,日野|2026091007|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026090802|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090802|28|C15-A-3|583114214100|1|750|313.7401
132,2,高岡|2026090802|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090802|K5|C15-B-5|581164203000|1|830|313.74
133,3,KVC|2026090902|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026090902|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090902|B7|L12-D-8|537224207090|1|515|194.1302
134,3,日野|2026090902|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090902|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026090902|07|Q10-B-7|616236014000|1|500|72.908
135,3,日野|2026090902|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090902|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090902|07|Q10-D-25|617416014000|1|750|62.1901
136,3,日野|2026091207|07|Q10-D-23|617426014000|1|750|62.19; 織機|2026090902|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090902|28|C15-A-3|583114214100|1|750|313.7401
137,2,高岡|2026090902|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090902|K5|L12-C-5|537214206000|1|515|194.1301
138,2,KVC|2026091002|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091002|B7|L12-C-5|537214206090|1|515|194.1301
139,3,日野|2026091002|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091002|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091002|07|Q10-B-7|616236014000|1|500|72.908
140,3,日野|2026091002|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091002|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091002|07|Q10-D-25|617416014000|1|750|62.1901
141,3,日野|2026091207|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026091002|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091002|61|C15-A-3|583114214100|1|750|313.7401
142,3,高岡|2026091002|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026091002|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026091002|K5|L12-D-8|537224207000|1|515|194.1302
143,1,高岡|2026091002|K5|L12-C-5|537214206000|1|515|194.1301
144,3,日野|2026091002|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026091005|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026091005|K5|L12-C-5|537214206000|1|515|194.1301
145,3,日野|2026090802|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026091007|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091007|28|C15-A-3|583114214100|1|750|313.7401
146,3,日野|2026091102|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091102|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091102|07|Q10-B-7|616236014000|1|500|72.908
147,3,日野|2026091102|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091102|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091102|07|Q10-D-25|617416014000|1|750|62.1901
148,3,日野|2026090702|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091102|07|Q10-D-23|617426014000|1|750|62.19; 高岡|2026090205|K5|C15-A-3|583114214100|1|750|313.7401
149,4,日野|2026091102|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091102|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091102|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090105|K5|C15-A-3|583114214100|1|750|313.7401
150,3,織機|2026091102|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091102|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091102|61|C15-A-3|583114214100|1|750|313.7401
151,1,元町|2026082702|1W|N12-A-19|571121101000|1|800|168.3904
152,3,日野|2026091202|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091202|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091202|06|Q10-A-13|486246006000|1|750|72.913
153,3,日野|2026091202|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091202|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091202|07|Q10-B-7|616236014000|1|500|72.908
154,3,日野|2026090702|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091202|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091202|07|Q10-D-25|617416014000|1|750|62.1901
155,1,元町|2026090702|1W|N12-B-1|537141101000|1|515|153.54
156,1,元町|2026091002|1W|N12-A-19|571121101000|1|800|168.3904
